drug_cd,제품명,성분 1,성분 2,내용
2021082400002,,Acetaminophen,Amobarbital,NSAIDs(Acetaminophen)/Barbiturates 임상효과 : 바비츄레이트계 약물을 많은 양 혹은 장기간 투여시 아세트아미노펜의 잠재적인 간독성이 증가될 수 있다. 그리고 아세트아미노펜의 치료 효과도 감소될 수 있다. 기전 : 바비츄레이트계 약물은 아세트아미노펜의 대사를 가속화하는 간효소를 유도하고 이로인해 비정상적으로 간독성 수치가 높아진다. 처치 : 규칙적으로 바비츄레이트계 약물을 복용중인 환자에게 과량의 아세트아미노펜을 함께 투여시 위험은 극대화된다. 상용량의 아세트아미노펜과 바비츄레이트계 약물의 투여는 특별한 조치나 모니터링이 필요하지 않다.
2021082400002,,Acetaminophen,Amobarbital Sodium,NSAIDs(Acetaminophen)/Barbiturates 임상효과 : 바비츄레이트계 약물을 많은 양 혹은 장기간 투여시 아세트아미노펜의 잠재적인 간독성이 증가될 수 있다. 그리고 아세트아미노펜의 치료 효과도 감소될 수 있다. 기전 : 바비츄레이트계 약물은 아세트아미노펜의 대사를 가속화하는 간효소를 유도하고 이로인해 비정상적으로 간독성 수치가 높아진다. 처치 : 규칙적으로 바비츄레이트계 약물을 복용중인 환자에게 과량의 아세트아미노펜을 함께 투여시 위험은 극대화된다. 상용량의 아세트아미노펜과 바비츄레이트계 약물의 투여는 특별한 조치나 모니터링이 필요하지 않다.
2021082400002,,Acetaminophen,Aprobarbital,NSAIDs(Acetaminophen)/Barbiturates 임상효과 : 바비츄레이트계 약물을 많은 양 혹은 장기간 투여시 아세트아미노펜의 잠재적인 간독성이 증가될 수 있다. 그리고 아세트아미노펜의 치료 효과도 감소될 수 있다. 기전 : 바비츄레이트계 약물은 아세트아미노펜의 대사를 가속화하는 간효소를 유도하고 이로인해 비정상적으로 간독성 수치가 높아진다. 처치 : 규칙적으로 바비츄레이트계 약물을 복용중인 환자에게 과량의 아세트아미노펜을 함께 투여시 위험은 극대화된다. 상용량의 아세트아미노펜과 바비츄레이트계 약물의 투여는 특별한 조치나 모니터링이 필요하지 않다.
2021082400002,,Acetaminophen,Atropine,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Atropine Sulfate Hydrate,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Belladonna total Alkaloid,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Benztropine Mesylate,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Butabarbital,NSAIDs(Acetaminophen)/Barbiturates 임상효과 : 바비츄레이트계 약물을 많은 양 혹은 장기간 투여시 아세트아미노펜의 잠재적인 간독성이 증가될 수 있다. 그리고 아세트아미노펜의 치료 효과도 감소될 수 있다. 기전 : 바비츄레이트계 약물은 아세트아미노펜의 대사를 가속화하는 간효소를 유도하고 이로인해 비정상적으로 간독성 수치가 높아진다. 처치 : 규칙적으로 바비츄레이트계 약물을 복용중인 환자에게 과량의 아세트아미노펜을 함께 투여시 위험은 극대화된다. 상용량의 아세트아미노펜과 바비츄레이트계 약물의 투여는 특별한 조치나 모니터링이 필요하지 않다.
2021082400002,,Acetaminophen,Butabarbital Sodium,NSAIDs(Acetaminophen)/Barbiturates 임상효과 : 바비츄레이트계 약물을 많은 양 혹은 장기간 투여시 아세트아미노펜의 잠재적인 간독성이 증가될 수 있다. 그리고 아세트아미노펜의 치료 효과도 감소될 수 있다. 기전 : 바비츄레이트계 약물은 아세트아미노펜의 대사를 가속화하는 간효소를 유도하고 이로인해 비정상적으로 간독성 수치가 높아진다. 처치 : 규칙적으로 바비츄레이트계 약물을 복용중인 환자에게 과량의 아세트아미노펜을 함께 투여시 위험은 극대화된다. 상용량의 아세트아미노펜과 바비츄레이트계 약물의 투여는 특별한 조치나 모니터링이 필요하지 않다.
2021082400002,,Acetaminophen,Butalbital,NSAIDs(Acetaminophen)/Barbiturates 임상효과 : 바비츄레이트계 약물을 많은 양 혹은 장기간 투여시 아세트아미노펜의 잠재적인 간독성이 증가될 수 있다. 그리고 아세트아미노펜의 치료 효과도 감소될 수 있다. 기전 : 바비츄레이트계 약물은 아세트아미노펜의 대사를 가속화하는 간효소를 유도하고 이로인해 비정상적으로 간독성 수치가 높아진다. 처치 : 규칙적으로 바비츄레이트계 약물을 복용중인 환자에게 과량의 아세트아미노펜을 함께 투여시 위험은 극대화된다. 상용량의 아세트아미노펜과 바비츄레이트계 약물의 투여는 특별한 조치나 모니터링이 필요하지 않다.
2021082400002,,Acetaminophen,Carbamazepine,NSAIDs(Acetaminophen)/Anticonvulsants(Carbamazepine) 임상효과 : 두 약물의 과량 혹은 장기적인 병용투여시 아세트아미토펜의 잠재적인 간독성을 증가시키고 치료효과를 감소시킬 수 있다. 기전 : 카르바마제핀은 아세트아미노펜의 대사를 가속화시키는 간내 효소를 유도할 수 있다. 이런 높은 대사비율이 간의 대사독성수치를 비정상적으로 상승시킬 수 있다. 처치 : 규칙적으로 카르바마제핀을 복용중인 환자에게 과량의 아세트아미노펜을 함께 투여시 위험은 극대화된다. 상용량의 아세트아미노펜과 카르바마제핀의 투여시에는 약물의 용량 조절이 필요하지 않다.
2021082400002,,Acetaminophen,Clidinium Bromide,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Dicyclomine Hydrochloride,NSAIDs(Acetaminophen)/Anticholinergics 임상효과 : 두 약물의 병용투여시 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수 있다. 하지만 궁극적인 약리학적 효과는 영향을 받지 않는다. 기전 : 항콜린제가 소화관의 유동성을 감소시켜 아세트아미노펜의 소화관 흡수가 지연될 수 있다. 처치 : 두 약물의 병용투여로 인한 위험은 경미하거나 없다.
2021082400002,,Acetaminophen,Ethanol,"NSAIDs(Acetaminophen)/Ethanol 임상효과 : 아세트아미토펜과 에탄올의 병용시 아세트아미노펜의 혈장 반감기가 증가될 수 있다. 또한 에탄올의 만성적인 소비는 아세트아미노펜이 유발하는 간손상의 위험을 증가시킬 수 있다. 기전 : 주기적으로 알코올을 섭취하는 환자는 다량의 아세트아미노펜을 대사시키는 능력이 감소된다. 또한 정확한 작용 기전은 밝혀지지 않았으나, 만성적인 에탄올 소비에 의한 간효소유도는 아세트아미노펜이 유도하는 간독성과 연관이 있을 것으로 추정된다. 처치 : 에탄올을 만성적 혹은 과량 소비하는 환자에게 이 잠재적인 상호작용에 대해 주의를 주어야 한다. 정기적으로 과량의 아세트아미토펜을 사용하거나 만성적인 에탄올의 복용은 피하라고 지시한다."
2021082400002,,Acetaminophen,Ethinylestradiol,"NSAIDs(Acetaminophen)/Contraceptives, Hormonal 임상효과 : 두 약물의 병용투여시 에치닐에스트라디올의 수치는 증가할 수 있으며, 아세트아미노펜의 혈중농도는 감소할 수 있다. 따라서 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수는 있지만, 궁극적인 약리학적 효과는 영향을 거의 받지 않는다. 기전 : 아세트아미노펜은 호르몬성분의 포합을 저해할 가능성이 있어 혈장 에치닐에스트라디올 수치를 증가시킬 수 있다. 반대로 아세트아미노펜은 에치닐에스트라디올과의 병용에 의해 글루쿠론산 포합이 증가하여 이 약의 혈장청소율(Plasma Clearance)은 증가하고 반감기는 감소할 수 있다. 처치 : 치료 용량에서의 두 약물의 병용투여는 위험성이 경미하거나 거의 없다."
2021082400002,,Acetaminophen,Ethinylestradiol Betadex Clathrate,"NSAIDs(Acetaminophen)/Contraceptives, Hormonal 임상효과 : 두 약물의 병용투여시 에치닐에스트라디올의 수치는 증가할 수 있으며, 아세트아미노펜의 혈중농도는 감소할 수 있다. 따라서 아세트아미노펜의 효과 발현시간이 조금 늦어지거나 감소될 수는 있지만, 궁극적인 약리학적 효과는 영향을 거의 받지 않는다. 기전 : 아세트아미노펜은 호르몬성분의 포합을 저해할 가능성이 있어 혈장 에치닐에스트라디올 수치를 증가시킬 수 있다. 반대로 아세트아미노펜은 에치닐에스트라디올과의 병용에 의해 글루쿠론산 포합이 증가하여 이 약의 혈장청소율(Plasma Clearance)은 증가하고 반감기는 감소할 수 있다. 처치 : 치료 용량에서의 두 약물의 병용투여는 위험성이 경미하거나 거의 없다."
2021082400002,,Acetaminophen,Ethotoin,"NSAIDs(Acetaminophen)/Hydantoins 임상효과 : 만성적인 용량의 히단토인계 약물이 병용투여 되었을 때, 아세트아미노펜의 잠재적인 간독성 위험은 증가하고 치료효과는 감소할 수 있다. 기전 : 히단토인계 약물은 아세트아미노펜을 간독성 대사물로 대사되게하는 간효소를 유도할 수 있다. 처치 : 규칙적으로 히단토인계 약물을 복용중인 환자에게 만성적 혹은 과용량의 아세트아미노펜을 함께 투여시 간독성의 위험은 최대가 된다. 일반적으로, 치료용량의 아세트아미노펜과 히단토인계 약물의 병용은 특별한 용량조절이나 모니터링이 필요하지 않다."
2021082400002,,Acetaminophen,Exenatide,NSAIDs(Acetaminophen)/Exenatide 임상효과 : 두 약물의 병용투여시 아세트아미토펜의 효과 발현시간은 연장되지만 흡수의 범위는 변화되지 않는다. 기전 : 엑세나타이드는 위내용배출(Gastric Emptying)을 느리게하여 아세트아미노펜의 소화관 흡수를 지연시킬 수 있다. 처치 : 아세트아미토펜의 효과 발현시간 지연을 최소화하기위해 엑세나타이드 복용 4시간 후나 1시간 전에 아세트아미토펜을 복용하여야 한다.
